pasada;grabacion;t_start;t_end;duration_min;duration_s;n_points;anomaly
11;11_2_8_B_W.gpx;2024-09-06 12:58:10 Z;2024-09-06 13:49:26 Z;51.3;3076;402;✅ ok
11;11_2_9_Z_W.gpx;2024-09-06 12:58:28 Z;2024-09-06 13:49:14 Z;50.8;3046;294;✅ ok
12;12_6_10_H_B.gpx;2024-09-07 14:23:59 Z;2024-09-07 16:20:26 Z;116.5;6987;833;✅ ok
12;12_6_11_A_B.gpx;2024-09-07 14:23:58 Z;2024-09-07 16:20:27 Z;116.5;6989;655;✅ ok
12;12_6_13_J_B.gpx;2024-09-07 14:23:55 Z;2024-09-07 16:21:08 Z;117.2;7033;1625;✅ ok
12;12_6_14_J_B.gpx;2024-09-07 14:24:11 Z;2024-09-07 16:21:32 Z;117.3;7041;898;✅ ok
12;12_6_15_J_B.gpx;2024-09-07 14:24:06 Z;2024-09-07 16:21:10 Z;117.1;7023;1661;✅ ok
12;12_6_16_M_B.gpx;2024-09-07 14:24:06 Z;2024-09-07 16:21:07 Z;117.0;7020;2709;✅ ok
12;12_6_1_A_B.gpx;2024-09-07 14:24:01 Z;2024-09-07 16:21:05 Z;117.1;7024;453;✅ ok
12;12_6_2_A_B.gpx;2024-09-07 14:24:44 Z;2024-09-07 16:20:27 Z;115.7;6943;619;✅ ok
12;12_6_3_A_B.gpx;2024-09-07 14:23:57 Z;2024-09-07 16:20:27 Z;116.5;6990;566;✅ ok
12;12_6_4_A_B.gpx;2024-09-07 14:23:57 Z;2024-09-07 16:20:27 Z;116.5;6990;567;✅ ok
12;12_6_5_A_B.gpx;2024-09-07 14:23:45 Z;2024-09-07 16:20:34 Z;116.8;7009;455;✅ ok
12;12_6_6_E_B.gpx;2024-09-07 14:24:01 Z;2024-09-07 16:20:29 Z;116.5;6988;620;✅ ok
12;12_6_7_F_B.gpx;2024-09-07 14:23:43 Z;2024-09-07 16:20:31 Z;116.8;7008;596;✅ ok
12;12_6_8_A_B.gpx;2024-09-07 14:24:01 Z;2024-09-07 16:20:30 Z;116.5;6989;723;✅ ok
12;12_6_9_H_B.gpx;2024-09-07 14:23:33 Z;2024-09-07 16:20:30 Z;117.0;7017;645;✅ ok
13;13_7_10_H_B.gpx;2024-09-07 16:50:29 Z;2024-09-07 18:00:04 Z;69.6;4175;1002;✅ ok
13;13_7_11_A_B.gpx;2024-09-07 16:50:29 Z;2024-09-07 18:00:04 Z;69.6;4175;874;✅ ok
13;13_7_12_E_B.gpx;2005-01-22 16:49:48 Z;2005-01-22 18:00:02 Z;70.2;4214;315;⚠️ fuera de rango
13;13_7_14_J_B.gpx;2024-09-07 16:50:28 Z;2024-09-07 18:00:02 Z;69.6;4174;858;✅ ok
13;13_7_15_J_B.gpx;2024-09-07 16:50:28 Z;2024-09-07 18:01:47 Z;71.3;4279;1555;✅ ok
13;13_7_16_M_B.gpx;2024-09-07 16:50:31 Z;2024-09-07 18:00:06 Z;69.6;4174;2133;✅ ok
13;13_7_1_A_B.gpx;2024-09-07 16:50:32 Z;2024-09-07 18:00:06 Z;69.6;4174;432;✅ ok
13;13_7_2_A_B.gpx;2024-09-07 16:50:27 Z;2024-09-07 18:00:08 Z;69.7;4181;667;✅ ok
13;13_7_3_A_B.gpx;2024-09-07 16:50:26 Z;2024-09-07 18:00:05 Z;69.7;4179;678;✅ ok
13;13_7_4_A_B.gpx;2024-09-07 16:50:32 Z;2024-09-07 18:00:05 Z;69.5;4173;785;✅ ok
13;13_7_5_A_B.gpx;2024-09-07 16:50:24 Z;2024-09-07 18:00:04 Z;69.7;4180;863;✅ ok
13;13_7_6_E_B.gpx;2024-09-07 16:50:31 Z;2024-09-07 18:00:05 Z;69.6;4174;610;✅ ok
13;13_7_7_F_B.gpx;2024-09-07 16:50:28 Z;2024-09-07 18:00:06 Z;69.6;4178;763;✅ ok
13;13_7_8_A_B.gpx;2024-09-07 16:50:27 Z;2024-09-07 18:00:27 Z;70.0;4200;994;✅ ok
13;13_7_9_H_B.gpx;2024-09-07 16:50:24 Z;2024-09-07 18:03:54 Z;73.5;4410;861;✅ ok
14;14_8_10_H_W.gpx;2024-09-08 08:52:55 Z;2024-09-08 10:36:26 Z;103.5;6211;424;✅ ok
14;14_8_11_A_W.gpx;2024-09-08 08:53:03 Z;2024-09-08 10:37:01 Z;104.0;6238;627;✅ ok
14;14_8_14_J_W.gpx;2024-09-08 08:52:19 Z;2024-09-08 10:36:10 Z;103.8;6231;205;✅ ok
14;14_8_15_J_W.gpx;2024-09-08 08:52:43 Z;2024-09-08 10:36:46 Z;104.1;6243;404;✅ ok
14;14_8_16_M_W.gpx;2024-09-08 08:53:13 Z;2024-09-08 10:36:29 Z;103.3;6196;732;✅ ok
14;14_8_1_A_W.gpx;2024-09-08 08:53:39 Z;2024-09-08 10:36:23 Z;102.7;6164;338;✅ ok
14;14_8_2_A_W.gpx;2024-09-08 08:53:33 Z;2024-09-08 10:36:51 Z;103.3;6198;362;✅ ok
14;14_8_4_A_W.gpx;2024-09-08 08:53:11 Z;2024-09-08 10:38:08 Z;105.0;6297;321;✅ ok
14;14_8_5_A_W.gpx;2024-09-08 08:53:09 Z;2024-09-08 10:38:34 Z;105.4;6325;471;✅ ok
14;14_8_6_E_W.gpx;2024-09-08 08:53:19 Z;2024-09-08 10:39:28 Z;106.2;6369;355;✅ ok
14;14_8_7_F_W.gpx;2024-09-08 08:43:08 Z;2024-09-08 10:39:57 Z;116.8;7009;392;✅ ok
14;14_8_8_A_W.gpx;2024-09-08 08:53:07 Z;2024-09-08 10:37:37 Z;104.5;6270;427;✅ ok
14;14_8_9_H_W.gpx;2024-09-08 08:53:14 Z;2024-09-08 10:36:20 Z;103.1;6186;467;✅ ok
15;15_9_10_H_W.gpx;2024-09-09 08:01:08 Z;2024-09-09 14:11:34 Z;370.4;22226;1866;✅ ok
15;15_9_11_A_W.gpx;2024-09-09 08:00:50 Z;2024-09-09 14:11:28 Z;370.6;22238;2556;✅ ok
15;15_9_14_J_W.gpx;2024-09-09 08:00:33 Z;2024-09-09 14:11:18 Z;370.8;22245;783;✅ ok
15;15_9_15_J_W.gpx;2024-09-09 08:00:53 Z;2024-09-09 14:14:24 Z;373.5;22410;1432;✅ ok
15;15_9_16_M_W.gpx;2024-09-09 08:00:41 Z;2024-09-09 14:11:18 Z;370.6;22237;2732;✅ ok
15;15_9_1_A_W.gpx;2024-09-09 08:01:05 Z;2024-09-09 14:11:35 Z;370.5;22230;1675;✅ ok
15;15_9_3_A_W.gpx;2024-09-09 08:01:13 Z;2024-09-09 14:11:31 Z;370.3;22218;1714;✅ ok
15;15_9_7_F_W.gpx;2024-09-09 07:58:54 Z;2024-09-09 14:17:09 Z;378.2;22695;1773;✅ ok
15;15_9_8_A_W.gpx;2024-09-09 08:01:08 Z;2024-09-09 14:11:31 Z;370.4;22223;1704;✅ ok
15;15_9_9_H_W.gpx;2024-09-09 08:01:07 Z;2024-09-09 14:13:21 Z;372.2;22334;2192;✅ ok
15a;15a_9a_2_A_W.gpx;2024-09-09 08:03:31 Z;2024-09-09 13:10:38 Z;307.1;18427;1664;✅ ok
15b;15b_9b_4_A_W.gpx;2024-09-09 08:00:34 Z;2024-09-09 11:18:20 Z;197.8;11866;896;✅ ok
15c;15c_9c_5_A_W.gpx;2024-09-09 08:01:33 Z;2024-09-09 12:46:51 Z;285.3;17118;1140;✅ ok
15d;15d_9d_6_E_W.gpx;2024-09-09 07:59:58 Z;2024-09-09 12:21:13 Z;261.2;15675;1184;✅ ok
16;16_10_10_H_B.gpx;2024-09-23 16:39:35 Z;2024-09-23 18:02:20 Z;82.8;4965;725;✅ ok
16;16_10_11_A_B.gpx;2024-09-23 16:37:28 Z;2024-09-23 18:02:18 Z;84.8;5090;808;✅ ok
16;16_10_13_J_B.gpx;2024-09-23 16:37:15 Z;2024-09-23 18:02:17 Z;85.0;5102;1151;✅ ok
16;16_10_14_J_B.gpx;2024-09-23 16:38:50 Z;2024-09-23 18:02:58 Z;84.1;5047;1578;✅ ok
16;16_10_15_J_B.gpx;2024-09-23 16:38:50 Z;2024-09-23 18:02:58 Z;84.1;5047;1578;✅ ok
16;16_10_16_M_B.gpx;2024-09-23 16:38:05 Z;2024-09-23 18:03:06 Z;85.0;5101;2250;✅ ok
16;16_10_1_A_B.gpx;2024-09-23 16:39:49 Z;2024-09-23 18:02:42 Z;82.9;4973;551;✅ ok
16;16_10_2_A_B.gpx;2024-09-23 16:39:09 Z;2024-09-23 18:02:18 Z;83.2;4989;1077;✅ ok
16;16_10_3_A_B.gpx;2024-09-23 16:39:44 Z;2024-09-23 18:02:46 Z;83.0;4982;746;✅ ok
16;16_10_4_A_B.gpx;2024-09-23 16:39:36 Z;2024-09-23 18:02:20 Z;82.7;4964;719;✅ ok
16;16_10_5_A_B.gpx;2024-09-23 16:39:49 Z;2024-09-23 18:02:19 Z;82.5;4950;811;✅ ok
16;16_10_7_F_B.gpx;2024-09-23 16:39:49 Z;2024-09-23 18:02:40 Z;82.8;4971;722;✅ ok
16;16_10_8_A_B.gpx;2024-09-23 16:39:24 Z;2024-09-23 18:02:03 Z;82.7;4959;822;✅ ok
16;16_10_9_H_B.gpx;2024-09-23 16:39:33 Z;2024-09-23 18:02:15 Z;82.7;4962;780;✅ ok
17;17_11_11_A_B.gpx;2024-09-26 15:19:17 Z;2024-09-26 16:43:14 Z;84.0;5037;1019;✅ ok
17;17_11_13_J_B.gpx;2024-09-26 15:21:17 Z;2024-09-26 16:43:22 Z;82.1;4925;1168;✅ ok
17;17_11_14_J_B.gpx;2024-09-26 15:17:38 Z;2024-09-26 16:42:57 Z;85.3;5119;1157;✅ ok
17;17_11_15_J_B.gpx;2024-09-26 15:18:00 Z;2024-09-26 16:45:09 Z;87.1;5228;2061;✅ ok
17;17_11_16_M_B.gpx;2024-09-26 15:17:23 Z;2024-09-26 16:43:02 Z;85.7;5139;2771;✅ ok
17;17_11_1_A_B.gpx;2024-09-26 15:19:23 Z;2024-09-26 16:43:23 Z;84.0;5040;586;✅ ok
17;17_11_2_A_B.gpx;2024-09-26 15:19:43 Z;2024-09-26 16:43:14 Z;83.5;5011;1032;✅ ok
17;17_11_4_A_B.gpx;2024-09-26 15:19:13 Z;2024-09-26 16:43:14 Z;84.0;5041;887;✅ ok
17;17_11_5_A_B.gpx;2024-09-26 15:19:14 Z;2024-09-26 16:43:15 Z;84.0;5041;919;✅ ok
17;17_11_6_E_B.gpx;2024-09-26 15:18:52 Z;2024-09-26 16:43:10 Z;84.3;5058;614;✅ ok
17;17_11_7_F_B.gpx;2024-09-26 15:19:34 Z;2024-09-26 16:43:44 Z;84.2;5050;876;✅ ok
17;17_11_8_A_B.gpx;2024-09-26 15:19:12 Z;2024-09-26 16:43:14 Z;84.0;5042;1032;✅ ok
17;17_11_9_H_B.gpx;2024-09-26 15:19:18 Z;2024-09-26 16:43:05 Z;83.8;5027;949;✅ ok
2;2_2_10_H_W.gpx;2024-08-26 17:51:33 Z;2024-08-26 18:49:20 Z;57.8;3467;266;✅ ok
2;2_2_11_E_W.gpx;2024-08-26 17:49:58 Z;2024-08-26 18:49:38 Z;59.7;3580;339;✅ ok
2;2_2_12_I_W.gpx;2005-01-10 17:54:30 Z;2005-01-10 18:46:12 Z;51.7;3102;416;⚠️ fuera de rango
2;2_2_13_J_W.gpx;2024-08-26 17:47:39 Z;2024-08-26 18:48:34 Z;60.9;3655;562;✅ ok
2;2_2_14_J_W.gpx;2024-08-26 17:46:13 Z;2024-08-26 18:48:05 Z;61.9;3712;241;✅ ok
2;2_2_15_J_W.gpx;2024-08-26 17:46:47 Z;2024-08-26 18:51:20 Z;64.6;3873;466;✅ ok
2;2_2_16_M_W.gpx;2024-08-26 17:48:09 Z;2024-08-26 18:50:20 Z;62.2;3730;870;✅ ok
2;2_2_1_Q_W.gpx;2024-08-26 17:52:44 Z;2024-08-26 18:49:31 Z;56.8;3407;198;✅ ok
2;2_2_2_A_W.gpx;2024-08-26 17:53:34 Z;2024-08-26 19:45:29 Z;111.9;6715;277;⚠️ fuera de rango
2;2_2_3_A_W.gpx;2024-08-26 17:53:09 Z;2024-08-26 18:49:58 Z;56.8;3409;397;✅ ok
2;2_2_4_K_W.gpx;2024-08-26 17:53:20 Z;2024-08-26 18:49:48 Z;56.5;3388;341;✅ ok
2;2_2_5_L_W.gpx;2024-08-26 17:51:03 Z;2024-08-26 18:49:16 Z;58.2;3493;431;✅ ok
2;2_2_6_E_W.gpx;2024-08-26 17:48:55 Z;2024-08-26 18:48:56 Z;60.0;3601;234;✅ ok
2;2_2_7_F_W.gpx;2024-08-26 17:50:43 Z;2024-08-26 18:49:09 Z;58.4;3506;240;✅ ok
2;2_2_8_A_W.gpx;2024-08-26 17:49:23 Z;2024-08-26 18:49:03 Z;59.7;3580;233;✅ ok
2;2_2_9_H_W.gpx;2024-08-26 17:53:49 Z;2024-08-26 18:50:04 Z;56.2;3375;312;✅ ok
3;3_2_10_H_W.gpx;2024-08-27 11:24:58 Z;2024-08-27 12:21:35 Z;56.6;3397;290;✅ ok
3;3_2_11_E_W.gpx;2024-08-27 11:23:50 Z;2024-08-27 12:20:35 Z;56.8;3405;237;✅ ok
3;3_2_12_I_W.gpx;2005-01-11 11:29:10 Z;2005-01-11 12:18:38 Z;49.5;2968;384;⚠️ fuera de rango
3;3_2_14_J_W.gpx;2024-08-27 11:19:14 Z;2024-08-27 12:18:37 Z;59.4;3563;238;✅ ok
3;3_2_15_J_W.gpx;2024-08-27 11:19:44 Z;2024-08-27 12:19:19 Z;59.6;3574;465;✅ ok
3;3_2_16_M_W.gpx;2024-08-27 11:19:28 Z;2024-08-27 12:18:47 Z;59.3;3559;864;✅ ok
3;3_2_1_Q_W.gpx;2024-08-27 11:25:29 Z;2024-08-27 12:21:25 Z;55.9;3356;211;✅ ok
3;3_2_2_A_W.gpx;2024-08-27 11:26:18 Z;2024-08-27 12:21:58 Z;55.7;3340;247;✅ ok
3;3_2_3_A_W.gpx;2024-08-27 11:24:42 Z;2024-08-27 12:21:30 Z;56.8;3408;428;✅ ok
3;3_2_4_K_W.gpx;2024-08-27 11:24:25 Z;2024-08-27 12:21:08 Z;56.7;3403;342;✅ ok
3;3_2_5_L_W.gpx;2024-08-27 11:26:04 Z;2024-08-27 12:22:05 Z;56.0;3361;409;✅ ok
3;3_2_6_E_W.gpx;2024-08-27 11:24:09 Z;2024-08-27 12:20:27 Z;56.3;3378;177;✅ ok
3;3_2_7_F_W.gpx;2024-08-27 11:27:06 Z;2024-08-27 12:21:52 Z;54.8;3286;232;✅ ok
3;3_2_8_A_W.gpx;2024-08-27 11:22:56 Z;2024-08-27 12:20:48 Z;57.9;3472;238;✅ ok
3;3_2_9_H_W.gpx;2024-08-27 11:26:42 Z;2024-08-27 12:22:17 Z;55.6;3335;292;✅ ok
4;4_3_10_H_W.gpx;2024-08-29 08:46:14 Z;2024-08-29 17:07:04 Z;500.8;30050;2366;✅ ok
4;4_3_11_E_W.gpx;2024-08-29 08:46:29 Z;2024-08-29 17:06:41 Z;500.2;30012;2261;✅ ok
4;4_3_14_J_W.gpx;2024-08-29 08:43:15 Z;2024-08-29 17:01:53 Z;498.6;29918;859;✅ ok
4;4_3_15_J_W.gpx;2024-08-29 08:43:54 Z;2024-08-29 17:04:51 Z;500.9;30056;1712;✅ ok
4;4_3_16_M_W.gpx;2024-08-29 08:43:33 Z;2024-08-29 17:02:32 Z;499.0;29939;3324;✅ ok
4;4_3_2_A_W.gpx;2024-08-29 08:47:19 Z;2024-08-29 17:07:08 Z;499.8;29989;2313;✅ ok
4;4_3_3_A_W.gpx;2024-08-29 08:48:13 Z;2024-08-29 17:07:33 Z;499.3;29960;1699;✅ ok
4;4_3_4_K_W.gpx;2024-08-29 08:46:30 Z;2024-08-29 17:08:02 Z;501.5;30092;2744;✅ ok
4;4_3_6_E_W.gpx;2024-08-29 08:44:49 Z;2024-08-29 17:06:09 Z;501.3;30080;2321;✅ ok
4;4_3_8_A_W.gpx;2024-08-29 08:45:07 Z;2024-08-29 17:06:49 Z;501.7;30102;2144;✅ ok
4;4_3_9_H_W.gpx;2024-08-29 08:45:43 Z;2024-08-29 17:01:59 Z;496.3;29776;2565;✅ ok
4a;4a_3a_12_I_W.gpx;2005-01-13 08:50:52 Z;2005-01-13 12:13:49 Z;202.9;12177;1978;✅ ok
4b;4b_3b_7_F_W.gpx;2024-08-29 08:47:07 Z;2024-08-29 12:59:41 Z;252.6;15154;1018;✅ ok
4c;4c_3c_5_L_W.gpx;2024-08-29 08:47:00 Z;2024-08-29 14:53:34 Z;366.6;21994;1200;✅ ok
4d;4d_3d_1_Q_W.gpx;2024-08-29 08:47:55 Z;2024-08-29 15:16:16 Z;388.4;23301;1481;✅ ok
5;5_4_10_H_W.gpx;2024-08-31 13:12:10 Z;2024-08-31 15:26:34 Z;134.4;8064;1811;✅ ok
5;5_4_11_E_W.gpx;2024-08-31 13:11:55 Z;2024-08-31 15:26:23 Z;134.5;8068;797;✅ ok
5;5_4_13_J_W.gpx;2024-08-31 13:18:44 Z;2024-08-31 15:26:28 Z;127.7;7664;1816;✅ ok
5;5_4_14_J_W.gpx;2024-08-31 13:12:10 Z;2024-08-31 15:26:16 Z;134.1;8046;529;✅ ok
5;5_4_15_J_W.gpx;2024-08-31 13:08:24 Z;2024-08-31 15:26:21 Z;137.9;8276;1050;✅ ok
5;5_4_16_M_W.gpx;2024-08-31 13:10:52 Z;2024-08-31 15:26:16 Z;135.4;8124;1826;✅ ok
5;5_4_1_Q_W.gpx;2024-08-31 13:12:09 Z;2024-08-31 15:26:52 Z;134.7;8083;610;✅ ok
5;5_4_2_A_W.gpx;2024-08-31 13:12:05 Z;2024-08-31 15:26:25 Z;134.3;8060;739;✅ ok
5;5_4_3_A_W.gpx;2024-08-31 13:08:30 Z;2024-08-31 15:26:37 Z;138.1;8287;935;✅ ok
5;5_4_4_K_W.gpx;2024-08-31 13:12:09 Z;2024-08-31 15:26:30 Z;134.3;8060;749;✅ ok
5;5_4_5_L_W.gpx;2024-08-31 13:12:10 Z;2024-08-31 15:26:23 Z;134.2;8053;964;✅ ok
5;5_4_6_E_W.gpx;2024-08-31 13:11:55 Z;2024-08-31 15:26:21 Z;134.4;8066;770;✅ ok
5;5_4_7_F_W.gpx;2024-08-31 13:11:49 Z;2024-08-31 15:26:27 Z;134.6;8078;981;✅ ok
5;5_4_8_A_W.gpx;2024-08-31 13:12:11 Z;2024-08-31 15:26:46 Z;134.6;8075;833;✅ ok
5;5_4_9_H_W.gpx;2024-08-31 13:12:12 Z;2024-08-31 15:26:28 Z;134.3;8056;1937;✅ ok
6;6_5_10_H_W.gpx;2024-08-31 15:54:13 Z;2024-08-31 18:14:27 Z;140.2;8414;2049;✅ ok
6;6_5_11_E_W.gpx;2024-08-31 15:54:11 Z;2024-08-31 18:13:40 Z;139.5;8369;910;✅ ok
6;6_5_12_I_W.gpx;2005-01-15 15:57:19 Z;2005-01-15 18:13:44 Z;136.4;8185;836;⚠️ fuera de rango
6;6_5_13_J_W.gpx;2024-08-31 15:54:03 Z;2024-08-31 18:14:11 Z;140.1;8408;1962;✅ ok
6;6_5_14_J_W.gpx;2024-08-31 15:53:42 Z;2024-08-31 18:13:38 Z;139.9;8395;582;✅ ok
6;6_5_15_J_W.gpx;2024-08-31 15:54:15 Z;2024-08-31 18:13:39 Z;139.4;8364;1156;✅ ok
6;6_5_16_M_W.gpx;2024-08-31 15:54:17 Z;2024-08-31 18:13:39 Z;139.4;8362;1841;✅ ok
6;6_5_1_Q_W.gpx;2024-08-31 15:53:56 Z;2024-08-31 18:14:02 Z;140.1;8406;823;✅ ok
6;6_5_2_A_W.gpx;2024-08-31 15:54:16 Z;2024-08-31 18:04:39 Z;130.4;7823;1022;✅ ok
6;6_5_3_A_W.gpx;2024-08-31 15:54:09 Z;2024-08-31 18:15:21 Z;141.2;8472;847;✅ ok
6;6_5_4_K_W.gpx;2024-08-31 15:54:06 Z;2024-08-31 18:14:09 Z;140.1;8403;812;✅ ok
6;6_5_5_L_W.gpx;2024-08-31 15:53:38 Z;2024-08-31 18:14:42 Z;141.1;8463;828;✅ ok
6;6_5_7_F_W.gpx;2024-08-31 15:54:05 Z;2024-08-31 18:14:11 Z;140.1;8406;1054;✅ ok
6;6_5_8_A_W.gpx;2024-08-31 15:53:55 Z;2024-08-31 18:14:03 Z;140.1;8408;932;✅ ok
6;6_5_9_H_W.gpx;2024-08-31 15:54:05 Z;2024-08-31 18:14:33 Z;140.5;8428;1899;✅ ok
7;7_2_10_H_W.gpx;2024-09-03 18:17:44 Z;2024-09-03 19:12:54 Z;55.2;3310;241;✅ ok
7;7_2_11_E_W.gpx;2024-09-03 18:18:17 Z;2024-09-03 19:13:43 Z;55.4;3326;228;✅ ok
7;7_2_12_I_W.gpx;2005-01-18 18:21:28 Z;2005-01-18 19:10:58 Z;49.5;2970;417;⚠️ fuera de rango
7;7_2_13_J_W.gpx;2024-09-03 18:20:36 Z;2024-09-03 19:12:29 Z;51.9;3113;496;✅ ok
7;7_2_14_J_W.gpx;2024-09-03 18:14:31 Z;2024-09-03 19:14:53 Z;60.4;3622;242;✅ ok
7;7_2_15_J_W.gpx;2024-09-03 18:14:58 Z;2024-09-03 19:14:37 Z;59.7;3579;465;✅ ok
7;7_2_16_M_W.gpx;2024-09-03 18:14:41 Z;2024-09-03 19:16:05 Z;61.4;3684;891;✅ ok
7;7_2_1_Q_W.gpx;2024-09-03 18:17:10 Z;2024-09-03 19:13:32 Z;56.4;3382;221;✅ ok
7;7_2_2_A_W.gpx;2024-09-03 18:19:22 Z;2024-09-03 19:12:56 Z;53.6;3214;214;✅ ok
7;7_2_3_A_W.gpx;2024-09-03 18:19:00 Z;2024-09-03 19:13:36 Z;54.6;3276;392;✅ ok
